No,E,N,ndsm,ndvi,class6
182,537181.973,5228970.243,5.33,-0.144144144,b
183,537182.701,5228969.044,5.07,-0.131578947,b
184,537182.007,5228970.354,5.35,-0.171548117,b
185,537182.735,5228969.155,5.09,-0.137931034,b
186,537182.042,5228970.466,5.37,-0.227642276,b
187,537182.77,5228969.267,5.1,-0.147679325,b
188,537182.076,5228970.577,5.43,-0.191489362,b
189,537182.804,5228969.378,5.13,-0.146443515,b
190,537182.11,5228970.688,5.51,-0.161825726,b
191,537182.838,5228969.489,5.18,-0.118181818,b
192,537182.144,5228970.8,5.57,-0.221311475,b
193,537182.872,5228969.601,5.23,-0.122171946,b
194,537182.907,5228969.712,5.26,-0.175438596,b
195,537182.941,5228969.823,5.3,-0.137777778,b
196,537180.517,5228969.472,4.89,-0.153526971,b
197,537182.975,5228969.935,5.34,-0.161572052,b
198,537180.551,5228969.583,4.9,-0.19844358,b
199,537183.009,5228970.046,5.39,-0.212121212,b
200,537180.586,5228969.695,4.92,-0.181467181,b
201,537183.044,5228970.157,5.43,-0.125541126,b
202,537180.62,5228969.806,4.97,-0.171314741,b
203,537183.078,5228970.269,5.47,-0.170124481,b
204,537180.654,5228969.918,5.03,-0.222222222,b
205,537183.112,5228970.38,5.51,-0.182978723,b
206,537180.688,5228970.029,5.1,-0.154471545,b
207,537183.146,5228970.492,5.55,-0.145374449,b
208,537180.723,5228970.14,5.14,-0.159663866,b
209,537183.181,5228970.603,5.59,-0.204724409,b
210,537180.757,5228970.252,5.17,-0.212598425,b
211,537183.215,5228970.714,5.64,-0.198347107,b
212,537180.791,5228970.363,5.2,-0.201550388,b
213,537183.249,5228970.826,5.69,-0.208695652,b
214,537181.519,5228969.164,4.95,-0.156398104,b
215,537180.825,5228970.474,5.23,-0.216,b
216,537181.553,5228969.275,4.98,-0.125,b
217,537180.86,5228970.586,5.26,-0.211155378,b
218,537181.588,5228969.387,5.02,-0.12037037,b
219,537180.894,5228970.697,5.3,-0.235955056,b
220,537181.622,5228969.498,5.05,-0.137931034,b
221,537180.928,5228970.808,5.33,-0.233576642,b
222,537181.656,5228969.609,5.07,-0.133928571,b
223,537181.69,5228969.721,5.11,-0.173333333,b
224,537181.725,5228969.832,5.17,-0.158798283,b
225,537181.759,5228969.943,5.07,-0.123287671,b
226,537181.793,5228970.055,5.28,-0.165137615,b
227,537182.521,5228968.856,4.95,-0.146788991,b
228,537181.827,5228970.166,5.32,-0.162162162,b
229,537182.556,5228968.967,5.02,-0.189655172,b
230,537181.862,5228970.277,5.34,-0.125581395,b
231,537182.59,5228969.078,5.08,-0.173913043,b
232,537181.896,5228970.389,5.37,-0.103773585,b
233,537182.624,5228969.19,5.11,-0.216216216,b
234,537181.964,5228970.611,5.46,-0.104072398,b
235,537182.658,5228969.301,5.12,-0.184549356,b
236,537181.999,5228970.723,5.53,-0.127118644,b
237,537182.693,5228969.412,5.14,-0.181818182,b
238,537182.033,5228970.834,5.6,-0.123404255,b
239,537182.727,5228969.524,5.18,-0.175438596,b
240,537182.761,5228969.635,5.2,-0.164556962,b
241,537182.795,5228969.746,5.23,-0.214285714,b
242,537182.83,5228969.858,5.29,-0.201716738,b
243,537182.864,5228969.969,5.34,-0.208,b
244,537182.898,5228970.08,5.38,-0.220883534,b
245,537182.932,5228970.192,5.41,-0.193133047,b
246,537182.967,5228970.303,5.46,-0.174468085,b
247,537183.001,5228970.414,5.5,-0.150442478,b
248,537183.035,5228970.526,5.55,-0.133640553,b
249,537183.069,5228970.637,5.59,-0.146443515,b
250,537183.104,5228970.748,5.62,-0.13304721,b
251,537183.138,5228970.86,5.67,-0.138075314,b
